empresa,ano,tipo_material,nome_arquivo,extensao,caminho_completo,caminho_relativo,tamanho_bytes,data_modificacao
iguatemi,2024,itr_dfp,ITR 1T24 - IGTI.pdf,.pdf,/mnt/c/Users/patri/Documents/IGUATEMI/data/raw/iguatemi/2024/itr_dfp/1T24/ITR 1T24 - IGTI.pdf,2024/itr_dfp/1T24/ITR 1T24 - IGTI.pdf,1048576,2026-03-25T16:59:38.353193
iguatemi,2024,relatorio_resultados,Release 1T24 vfinal2.pdf,.pdf,/mnt/c/Users/patri/Documents/IGUATEMI/data/raw/iguatemi/2024/relatorio_resultados/1T24/Release 1T24 vfinal2.pdf,2024/relatorio_resultados/1T24/Release 1T24 vfinal2.pdf,4893260,2026-03-25T16:57:54.277416
iguatemi,2024,relatorio_resultados,Release 2T24 PT vf2.pdf,.pdf,/mnt/c/Users/patri/Documents/IGUATEMI/data/raw/iguatemi/2024/relatorio_resultados/2T24/Release 2T24 PT vf2.pdf,2024/relatorio_resultados/2T24/Release 2T24 PT vf2.pdf,5644989,2026-03-25T16:58:14.712375
iguatemi,2024,relatorio_resultados,Release 3T24 PT v27.pdf,.pdf,/mnt/c/Users/patri/Documents/IGUATEMI/data/raw/iguatemi/2024/relatorio_resultados/3T24/Release 3T24 PT v27.pdf,2024/relatorio_resultados/3T24/Release 3T24 PT v27.pdf,5019060,2026-03-25T16:58:37.447500
iguatemi,2024,relatorio_resultados,Release 4T24 PT vFinal.pdf,.pdf,/mnt/c/Users/patri/Documents/IGUATEMI/data/raw/iguatemi/2024/relatorio_resultados/4T24/Release 4T24 PT vFinal.pdf,2024/relatorio_resultados/4T24/Release 4T24 PT vFinal.pdf,4696178,2026-03-25T16:58:55.399726
iguatemi,2024,transcricao_teleconferencia,Iguatemi Port 2T24.pdf,.pdf,/mnt/c/Users/patri/Documents/IGUATEMI/data/raw/iguatemi/2024/transcricao_teleconferencia/2T24/Iguatemi Port 2T24.pdf,2024/transcricao_teleconferencia/2T24/Iguatemi Port 2T24.pdf,264206,2026-03-25T17:02:15.063206
iguatemi,2024,transcricao_teleconferencia,Iguatemi Port 3T24.pdf,.pdf,/mnt/c/Users/patri/Documents/IGUATEMI/data/raw/iguatemi/2024/transcricao_teleconferencia/3T24/Iguatemi Port 3T24.pdf,2024/transcricao_teleconferencia/3T24/Iguatemi Port 3T24.pdf,210705,2026-03-25T17:02:31.788697
iguatemi,2024,transcricao_teleconferencia,Iguatemi Port 4T24 vf.pdf,.pdf,/mnt/c/Users/patri/Documents/IGUATEMI/data/raw/iguatemi/2024/transcricao_teleconferencia/4T24/Iguatemi Port 4T24 vf.pdf,2024/transcricao_teleconferencia/4T24/Iguatemi Port 4T24 vf.pdf,194485,2026-03-25T17:02:52.322942
iguatemi,2024,transcricao_teleconferencia,Transcrição Iguatemi Port 1T24.pdf,.pdf,/mnt/c/Users/patri/Documents/IGUATEMI/data/raw/iguatemi/2024/transcricao_teleconferencia/1T24/Transcrição Iguatemi Port 1T24.pdf,2024/transcricao_teleconferencia/1T24/Transcrição Iguatemi Port 1T24.pdf,193854,2026-03-25T17:01:23.422446
iguatemi,2025,apresentacao_resultados,CCall 1T25- v7.pdf,.pdf,/mnt/c/Users/patri/Documents/IGUATEMI/data/raw/iguatemi/2025/apresentacao_resultados/1T25/CCall 1T25- v7.pdf,2025/apresentacao_resultados/1T25/CCall 1T25- v7.pdf,2292337,2026-03-25T16:55:27.337823
iguatemi,2025,apresentacao_resultados,CCall 2T25.pdf,.pdf,/mnt/c/Users/patri/Documents/IGUATEMI/data/raw/iguatemi/2025/apresentacao_resultados/2T25/CCall 2T25.pdf,2025/apresentacao_resultados/2T25/CCall 2T25.pdf,2203817,2026-03-25T16:55:47.317267
